# Quranic Arabic Corpus - Dependency Treebank Data
# Scope: Full Quran (114 chapters, 6236 verses)
# Format: CHILD | PARENT | RELATION | ARABIC_LABEL | ENGLISH_LABEL
#
# Source: Extracted from syntax.txt in quranic-corpus.war
# Notation: CHILD -> PARENT (child depends on parent)
#
CHILD	PARENT	RELATION	ARABIC_LABEL	ENGLISH_LABEL
(3:91:16)	(3:91:16)	PP	PP	PP
(3:91:15)	(3:91:16)	VS	VS	VS
(3:91:16)	(3:91:16)	gen	جار ومجرور	Prepositional phrase
(3:91:18)	(3:91:18)	PP	PP	PP
(3:91:18)	(3:91:20)	NS	NS	NS
(3:91:18)	(3:91:18)	gen	جار ومجرور	Prepositional phrase
(3:91:20)	(3:91:19)	adj	صفة	Adjective
(3:91:22)	(3:91:22)	PP	PP	PP
(3:91:23)	(3:91:24)	PP	PP	PP
(3:91:22)	(3:91:22)	gen	جار ومجرور	Prepositional phrase
(3:91:24)	(3:91:23)	gen	جار ومجرور	Prepositional phrase
(3:92:6)	(3:92:6)	PP	PP	PP
(3:92:7)	(3:92:7)	VS	VS	VS
(3:92:5)	(3:92:7)	VS	VS	VS
(3:92:4)	(3:92:7)	PP	PP	PP
(3:92:2)	(3:92:1)	neg	neg	neg
(3:92:2)	(3:92:2)	subj	فاعل	Subject
(3:92:3)	(3:92:2)	obj	مفعول به	Object
(3:92:5)	(3:92:5)	subj	فاعل	Subject
(3:92:6)	(3:92:6)	gen	جار ومجرور	Prepositional phrase
(3:92:7)	(3:92:7)	subj	فاعل	Subject
(3:92:10)	(3:92:11)	PP	PP	PP
(3:92:9)	(3:92:11)	VS	VS	VS
(3:92:9)	(3:92:9)	subj	فاعل	Subject
(3:92:11)	(3:92:10)	gen	جار ومجرور	Prepositional phrase
(3:92:14)	(3:92:14)	PP	PP	PP
(3:92:12)	(3:92:15)	NS	NS	NS
(3:92:13)	(3:92:12)	subjx	اسم كان	Subject of special verb
(3:92:14)	(3:92:14)	gen	جار ومجرور	Prepositional phrase
(3:92:15)	(3:92:12)	predx	خبر كان	Predicate of special verb
(3:93:5)	(3:93:5)	PP	PP	PP
(3:93:3)	(3:93:6)	NS	NS	NS
(3:93:2)	(3:93:1)	poss	مضاف إليه	Possessive
(3:93:4)	(3:93:3)	predx	خبر كان	Predicate of special verb
(3:93:5)	(3:93:5)	gen	جار ومجرور	Prepositional phrase
(3:93:6)	(3:93:5)	poss	مضاف إليه	Possessive
(3:93:11)	(3:93:12)	PP	PP	PP
(3:93:9)	(3:93:12)	VS	VS	VS
(3:93:8)	(3:93:7)	exp	exp	exp
(3:93:10)	(3:93:9)	subj	فاعل	Subject
(3:93:12)	(3:93:11)	gen	جار ومجرور	Prepositional phrase
(3:93:12)	(3:93:12)	poss	مضاف إليه	Possessive
(3:93:13)	(3:93:14)	PP	PP	PP
(3:93:16)	(3:93:17)	VS	VS	VS
(3:93:15)	(3:93:17)	SC	SC	SC
(3:93:14)	(3:93:13)	gen	جار ومجرور	Prepositional phrase
(3:93:17)	(3:93:16)	pass	نائب فاعل	Passive subject
(3:93:20)	(3:93:20)	PP	PP	PP
(3:93:19)	(3:93:21)	VS	VS	VS
(3:93:19)	(3:93:19)	subj	فاعل	Subject
(3:93:20)	(3:93:20)	gen	جار ومجرور	Prepositional phrase
(3:93:21)	(3:93:19)	conj	معطوف	Coordinating conjunction
(3:93:21)	(3:93:21)	subj	فاعل	Subject
(3:93:21)	(3:93:21)	obj	مفعول به	Object
(3:93:23)	(3:93:24)	NS	NS	NS
(3:93:23)	(3:93:23)	subjx	اسم كان	Subject of special verb
(3:93:24)	(3:93:23)	predx	خبر كان	Predicate of special verb
(3:94:3)	(3:94:4)	PP	PP	PP
(3:94:2)	(3:94:5)	VS	VS	VS
(3:94:4)	(3:94:3)	gen	جار ومجرور	Prepositional phrase
(3:94:5)	(3:94:2)	obj	مفعول به	Object
(3:94:6)	(3:94:7)	PP	PP	PP
(3:94:7)	(3:94:6)	gen	جار ومجرور	Prepositional phrase
(3:94:8)	(3:94:7)	poss	مضاف إليه	Possessive
(3:94:10)	(3:94:11)	NS	NS	NS
(3:94:9)	(3:94:11)	NS	NS	NS
(3:94:11)	(3:94:10)	pred	مبتدأ وخبر	Predicate
(3:95:2)	(3:95:3)	VS	VS	VS
(3:95:3)	(3:95:2)	subj	فاعل	Subject
(3:95:4)	(3:95:4)	subj	فاعل	Subject
(3:95:5)	(3:95:4)	obj	مفعول به	Object
(3:95:6)	(3:95:5)	poss	مضاف إليه	Possessive
(3:95:7)	(3:95:6)	circ	حال	Circumstantial
(3:95:10)	(3:95:11)	PP	PP	PP
(3:95:9)	(3:95:8)	neg	neg	neg
(3:95:11)	(3:95:10)	gen	جار ومجرور	Prepositional phrase
(3:96:5)	(3:96:5)	PP	PP	PP
(3:96:4)	(3:96:5)	VS	VS	VS
(3:96:7)	(3:96:7)	PP	PP	PP
(3:96:2)	(3:96:1)	subjx	اسم كان	Subject of special verb
(3:96:3)	(3:96:2)	poss	مضاف إليه	Possessive
(3:96:5)	(3:96:5)	gen	جار ومجرور	Prepositional phrase
(3:96:6)	(3:96:6)	emph	emph	emph
(3:96:6)	(3:96:1)	predx	خبر كان	Predicate of special verb
(3:96:7)	(3:96:7)	gen	جار ومجرور	Prepositional phrase
(3:96:10)	(3:96:10)	PP	PP	PP
(3:96:9)	(3:96:8)	conj	معطوف	Coordinating conjunction
(3:96:10)	(3:96:10)	gen	جار ومجرور	Prepositional phrase
(3:97:1)	(3:97:1)	PP	PP	PP
(3:97:1)	(3:97:1)	gen	جار ومجرور	Prepositional phrase
(3:97:3)	(3:97:2)	adj	صفة	Adjective
(3:97:4)	(3:97:2)	app	بدل	Apposition
(3:97:5)	(3:97:4)	poss	مضاف إليه	Possessive
(3:97:8)	(3:97:9)	NS	NS	NS
(3:97:7)	(3:97:7)	obj	مفعول به	Object
(3:97:9)	(3:97:8)	predx	خبر كان	Predicate of special verb
(3:97:10)	(3:97:10)	PP	PP	PP
(3:97:11)	(3:97:12)	PP	PP	PP
(3:97:10)	(3:97:10)	gen	جار ومجرور	Prepositional phrase
(3:97:12)	(3:97:11)	gen	جار ومجرور	Prepositional phrase
(3:97:14)	(3:97:13)	poss	مضاف إليه	Possessive
(3:97:17)	(3:97:17)	PP	PP	PP
(3:97:16)	(3:97:18)	VS	VS	VS
(3:97:17)	(3:97:17)	gen	جار ومجرور	Prepositional phrase
(3:97:18)	(3:97:16)	obj	مفعول به	Object
(3:97:24)	(3:97:25)	PP	PP	PP
(3:97:21)	(3:97:25)	NS	NS	NS
(3:97:19)	(3:97:6)	conj	معطوف	Coordinating conjunction
(3:97:22)	(3:97:21)	subjx	اسم كان	Subject of special verb
(3:97:23)	(3:97:21)	predx	خبر كان	Predicate of special verb
(3:97:25)	(3:97:24)	gen	جار ومجرور	Prepositional phrase
(3:98:2)	(3:98:3)	S	S	S
(3:98:2)	(3:98:2)	voc	voc	voc
(3:98:3)	(3:98:2)	poss	مضاف إليه	Possessive
(3:98:4)	(3:98:4)	PP	PP	PP
(3:98:6)	(3:98:6)	PP	PP	PP
(3:98:4)	(3:98:4)	gen	جار ومجرور	Prepositional phrase
(3:98:5)	(3:98:5)	subj	فاعل	Subject
(3:98:6)	(3:98:6)	gen	جار ومجرور	Prepositional phrase
(3:98:7)	(3:98:6)	poss	مضاف إليه	Possessive
(3:98:10)	(3:98:11)	PP	PP	PP
(3:98:12)	(3:98:12)	VS	VS	VS
(3:98:8)	(3:98:12)	NS	NS	NS
(3:98:5)	(3:98:5)	subj	فاعل	Subject
(3:98:9)	(3:98:8)	pred	مبتدأ وخبر	Predicate
(3:98:11)	(3:98:10)	gen	جار ومجرور	Prepositional phrase
(3:98:12)	(3:98:12)	subj	فاعل	Subject
(3:99:2)	(3:99:3)	S	S	S
(3:99:2)	(3:99:2)	voc	voc	voc
(3:99:3)	(3:99:2)	poss	مضاف إليه	Possessive
(3:99:4)	(3:99:4)	PP	PP	PP
(3:99:6)	(3:99:7)	PP	PP	PP
(3:99:4)	(3:99:4)	gen	جار ومجرور	Prepositional phrase
(3:99:5)	(3:99:5)	subj	فاعل	Subject
(3:99:7)	(3:99:6)	gen	جار ومجرور	Prepositional phrase
(3:99:8)	(3:99:7)	poss	مضاف إليه	Possessive
(3:99:9)	(3:99:5)	obj	مفعول به	Object
(3:99:13)	(3:99:14)	NS	NS	NS
(3:99:11)	(3:99:11)	subj	فاعل	Subject
(3:99:11)	(3:99:11)	obj	مفعول به	Object
(3:99:12)	(3:99:11)	circ	حال	Circumstantial
(3:99:14)	(3:99:13)	pred	مبتدأ وخبر	Predicate
(3:99:17)	(3:99:17)	PP	PP	PP
(3:99:18)	(3:99:18)	PP	PP	PP
(3:99:19)	(3:99:19)	VS	VS	VS
(3:99:16)	(3:99:15)	subjx	اسم كان	Subject of special verb
(3:99:17)	(3:99:17)	gen	جار ومجرور	Prepositional phrase
(3:99:18)	(3:99:18)	gen	جار ومجرور	Prepositional phrase
(3:99:19)	(3:99:19)	subj	فاعل	Subject
(3:100:3)	(3:100:3)	VS	VS	VS
(3:100:1)	(3:100:1)	voc	voc	voc
(3:100:2)	(3:100:1)	app	بدل	Apposition
(3:100:3)	(3:100:3)	subj	فاعل	Subject
(3:100:7)	(3:100:8)	PP	PP	PP
(3:100:9)	(3:100:10)	VS	VS	VS
(3:100:5)	(3:100:10)	VS	VS	VS
(3:100:5)	(3:100:5)	subj	فاعل	Subject
(3:100:6)	(3:100:5)	obj	مفعول به	Object
(3:100:8)	(3:100:7)	gen	جار ومجرور	Prepositional phrase
(3:100:9)	(3:100:9)	pass	نائب فاعل	Passive subject
(3:100:10)	(3:100:9)	obj	مفعول به	Object
(3:100:11)	(3:100:14)	VS	VS	VS
(3:100:11)	(3:100:11)	subj	فاعل	Subject
(3:100:11)	(3:100:11)	obj	مفعول به	Object
(3:100:12)	(3:100:11)	link	متعلق	PP attachment
(3:100:13)	(3:100:12)	poss	مضاف إليه	Possessive
(3:100:13)	(3:100:13)	poss	مضاف إليه	Possessive
(3:100:14)	(3:100:11)	circ	حال	Circumstantial
(3:101:1)	(3:101:2)	circ	حال	Circumstantial
(3:101:2)	(3:101:2)	subj	فاعل	Subject
(3:101:5)	(3:101:5)	PP	PP	PP
(3:101:4)	(3:101:7)	VS	VS	VS
(3:101:3)	(3:101:7)	NS	NS	NS
(3:101:2)	(3:101:2)	subj	فاعل	Subject
(3:101:5)	(3:101:5)	gen	جار ومجرور	Prepositional phrase
(3:101:6)	(3:101:4)	pass	نائب فاعل	Passive subject
(3:101:7)	(3:101:6)	poss	مضاف إليه	Possessive
(3:101:8)	(3:101:8)	PP	PP	PP
(3:101:8)	(3:101:8)	gen	جار ومجرور	Prepositional phrase
(3:101:9)	(3:101:9)	poss	مضاف إليه	Possessive
(3:101:12)	(3:101:12)	PP	PP	PP
(3:101:11)	(3:101:12)	VS	VS	VS
(3:101:12)	(3:101:12)	gen	جار ومجرور	Prepositional phrase
(3:101:15)	(3:101:16)	PP	PP	PP
(3:101:13)	(3:101:17)	VS	VS	VS
(3:101:14)	(3:101:13)	cert	cert	cert
(3:101:16)	(3:101:15)	gen	جار ومجرور	Prepositional phrase
(3:101:17)	(3:101:16)	adj	صفة	Adjective
(3:102:3)	(3:102:3)	VS	VS	VS
(3:102:1)	(3:102:1)	voc	voc	voc
(3:102:2)	(3:102:1)	app	بدل	Apposition
(3:102:3)	(3:102:3)	subj	فاعل	Subject
(3:102:4)	(3:102:4)	subj	فاعل	Subject
(3:102:5)	(3:102:4)	obj	مفعول به	Object
(3:102:7)	(3:102:6)	poss	مضاف إليه	Possessive
(3:102:7)	(3:102:7)	poss	مضاف إليه	Possessive
(3:102:11)	(3:102:12)	NS	NS	NS
(3:102:9)	(3:102:8)	neg	neg	neg
(3:102:9)	(3:102:9)	emph	emph	emph
(3:102:12)	(3:102:11)	pred	مبتدأ وخبر	Predicate
(3:103:2)	(3:103:2)	PP	PP	PP
(3:102:4)	(3:102:4)	subj	فاعل	Subject
(3:103:1)	(3:102:4)	conj	معطوف	Coordinating conjunction
(3:103:1)	(3:103:1)	subj	فاعل	Subject
(3:103:2)	(3:103:2)	gen	جار ومجرور	Prepositional phrase
(3:103:3)	(3:103:2)	poss	مضاف إليه	Possessive
(3:103:4)	(3:103:1)	circ	حال	Circumstantial
(3:103:6)	(3:103:5)	pro	نهي	Prohibition
(3:103:6)	(3:103:6)	subj	فاعل	Subject
(3:103:10)	(3:103:10)	PP	PP	PP
(3:103:1)	(3:103:1)	subj	فاعل	Subject
(3:103:7)	(3:103:1)	conj	معطوف	Coordinating conjunction
(3:103:7)	(3:103:7)	subj	فاعل	Subject
(3:103:8)	(3:103:7)	obj	مفعول به	Object
(3:103:9)	(3:103:8)	poss	مضاف إليه	Possessive
(3:103:10)	(3:103:10)	gen	جار ومجرور	Prepositional phrase
(3:103:12)	(3:103:13)	NS	NS	NS
(3:103:11)	(3:103:8)	link	متعلق	PP attachment
(3:103:12)	(3:103:12)	subjx	اسم كان	Subject of special verb
(3:103:13)	(3:103:12)	predx	خبر كان	Predicate of special verb
(3:103:18)	(3:103:18)	PP	PP	PP
(3:103:15)	(3:103:14)	link	متعلق	PP attachment
(3:103:16)	(3:103:15)	poss	مضاف إليه	Possessive
(3:103:16)	(3:103:16)	poss	مضاف إليه	Possessive
(3:103:17)	(3:103:14)	conj	معطوف	Coordinating conjunction
(3:103:17)	(3:103:17)	subjx	اسم كان	Subject of special verb
(3:103:18)	(3:103:18)	gen	جار ومجرور	Prepositional phrase
(3:103:18)	(3:103:18)	poss	مضاف إليه	Possessive
(3:103:19)	(3:103:17)	predx	خبر كان	Predicate of special verb
(3:103:21)	(3:103:22)	PP	PP	PP
(3:103:24)	(3:103:25)	PP	PP	PP
(3:103:20)	(3:103:20)	subjx	اسم كان	Subject of special verb
(3:103:22)	(3:103:21)	gen	جار ومجرور	Prepositional phrase
(3:103:23)	(3:103:22)	poss	مضاف إليه	Possessive
(3:103:25)	(3:103:24)	gen	جار ومجرور	Prepositional phrase
(3:103:27)	(3:103:27)	PP	PP	PP
(3:103:20)	(3:103:20)	subjx	اسم كان	Subject of special verb
(3:103:26)	(3:103:20)	conj	معطوف	Coordinating conjunction
(3:103:26)	(3:103:26)	obj	مفعول به	Object
(3:103:27)	(3:103:27)	gen	جار ومجرور	Prepositional phrase
(3:103:28)	(3:103:28)	PP	PP	PP
(3:103:31)	(3:103:31)	PP	PP	PP
(3:103:28)	(3:103:28)	gen	جار ومجرور	Prepositional phrase
(3:103:30)	(3:103:29)	subj	فاعل	Subject
(3:103:31)	(3:103:31)	gen	جار ومجرور	Prepositional phrase
(3:103:32)	(3:103:29)	obj	مفعول به	Object
(3:103:32)	(3:103:32)	poss	مضاف إليه	Possessive
(3:103:34)	(3:103:34)	VS	VS	VS
(3:103:33)	(3:103:33)	subjx	اسم كان	Subject of special verb
(3:103:34)	(3:103:34)	subj	فاعل	Subject
(3:104:2)	(3:104:2)	PP	PP	PP
(3:104:5)	(3:104:6)	PP	PP	PP
(3:104:4)	(3:104:6)	VS	VS	VS
(3:104:1)	(3:104:1)	impv	أمر	Imperative
(3:104:2)	(3:104:2)	gen	جار ومجرور	Prepositional phrase
(3:104:3)	(3:104:1)	subjx	اسم كان	Subject of special verb
(3:104:4)	(3:104:4)	subj	فاعل	Subject
(3:104:6)	(3:104:5)	gen	جار ومجرور	Prepositional phrase
(3:104:8)	(3:104:8)	PP	PP	PP
(3:104:10)	(3:104:11)	PP	PP	PP
(3:104:4)	(3:104:4)	subj	فاعل	Subject
(3:104:7)	(3:104:4)	conj	معطوف	Coordinating conjunction
(3:104:7)	(3:104:7)	subj	فاعل	Subject
(3:104:8)	(3:104:8)	gen	جار ومجرور	Prepositional phrase
(3:104:9)	(3:104:7)	conj	معطوف	Coordinating conjunction
(3:104:9)	(3:104:9)	subj	فاعل	Subject
(3:104:11)	(3:104:10)	gen	جار ومجرور	Prepositional phrase
(3:104:13)	(3:104:14)	NS	NS	NS
(3:104:14)	(3:104:13)	pred	مبتدأ وخبر	Predicate
(3:105:3)	(3:105:3)	PP	PP	PP
(3:105:4)	(3:105:4)	VS	VS	VS
(3:105:2)	(3:105:1)	pro	نهي	Prohibition
(3:105:2)	(3:105:2)	subjx	اسم كان	Subject of special verb
(3:105:3)	(3:105:3)	gen	جار ومجرور	Prepositional phrase
(3:105:4)	(3:105:4)	subj	فاعل	Subject
(3:105:6)	(3:105:7)	PP	PP	PP
(3:105:9)	(3:105:10)	VS	VS	VS
(3:105:4)	(3:105:4)	subj	فاعل	Subject
(3:105:5)	(3:105:4)	conj	معطوف	Coordinating conjunction
(3:105:5)	(3:105:5)	subj	فاعل	Subject
(3:105:7)	(3:105:6)	gen	جار ومجرور	Prepositional phrase
(3:105:8)	(3:105:7)	poss	مضاف إليه	Possessive
(3:105:9)	(3:105:9)	obj	مفعول به	Object
(3:105:10)	(3:105:9)	subj	فاعل	Subject
(3:105:12)	(3:105:12)	PP	PP	PP
(3:105:12)	(3:105:14)	NS	NS	NS
(3:105:12)	(3:105:12)	gen	جار ومجرور	Prepositional phrase
(3:105:14)	(3:105:13)	adj	صفة	Adjective
(3:106:1)	(3:106:2)	link	متعلق	PP attachment
(3:106:3)	(3:106:2)	subj	فاعل	Subject
(3:106:4)	(3:106:2)	conj	معطوف	Coordinating conjunction
(3:106:5)	(3:106:4)	subj	فاعل	Subject
(3:106:8)	(3:106:9)	VS	VS	VS
(3:106:7)	(3:106:6)	exl	exl	exl
(3:106:9)	(3:106:8)	subj	فاعل	Subject
(3:106:9)	(3:106:9)	poss	مضاف إليه	Possessive
(3:106:10)	(3:106:12)	VS	VS	VS
(3:106:10)	(3:106:10)	intg	intg	intg
(3:106:10)	(3:106:10)	subj	فاعل	Subject
(3:106:11)	(3:106:10)	link	متعلق	PP attachment
(3:106:12)	(3:106:11)	poss	مضاف إليه	Possessive
(3:106:12)	(3:106:12)	poss	مضاف إليه	Possessive
(3:106:15)	(3:106:15)	PP	PP	PP
(3:106:17)	(3:106:17)	VS	VS	VS
(3:106:16)	(3:106:17)	NS	NS	NS
(3:106:13)	(3:106:13)	subj	فاعل	Subject
(3:106:14)	(3:106:13)	obj	مفعول به	Object
(3:106:15)	(3:106:15)	gen	جار ومجرور	Prepositional phrase
(3:106:16)	(3:106:16)	subjx	اسم كان	Subject of special verb
(3:106:17)	(3:106:17)	subj	فاعل	Subject
(3:107:3)	(3:107:4)	VS	VS	VS
(3:107:1)	(3:106:6)	conj	معطوف	Coordinating conjunction
(3:107:2)	(3:107:1)	exl	exl	exl
(3:107:4)	(3:107:3)	subj	فاعل	Subject
(3:107:4)	(3:107:4)	poss	مضاف إليه	Possessive
(3:107:5)	(3:107:6)	PP	PP	PP
(3:107:6)	(3:107:5)	gen	جار ومجرور	Prepositional phrase
(3:107:7)	(3:107:6)	poss	مضاف إليه	Possessive
(3:107:9)	(3:107:9)	PP	PP	PP
(3:107:9)	(3:107:9)	gen	جار ومجرور	Prepositional phrase
(3:107:10)	(3:107:8)	pred	مبتدأ وخبر	Predicate
(3:108:2)	(3:108:1)	pred	مبتدأ وخبر	Predicate
(3:108:3)	(3:108:2)	poss	مضاف إليه	Possessive
(3:108:5)	(3:108:5)	PP	PP	PP
(3:108:6)	(3:108:6)	PP	PP	PP
(3:108:4)	(3:108:4)	obj	مفعول به	Object
(3:108:5)	(3:108:5)	gen	جار ومجرور	Prepositional phrase
(3:108:6)	(3:108:6)	gen	جار ومجرور	Prepositional phrase
(3:108:11)	(3:108:11)	PP	PP	PP
(3:108:9)	(3:108:11)	VS	VS	VS
(3:108:8)	(3:108:7)	neg	neg	neg
(3:108:10)	(3:108:9)	obj	مفعول به	Object
(3:108:11)	(3:108:11)	gen	جار ومجرور	Prepositional phrase
(3:109:1)	(3:109:1)	PP	PP	PP
(3:109:3)	(3:109:4)	PP	PP	PP
(3:109:6)	(3:109:7)	PP	PP	PP
(3:109:1)	(3:109:1)	gen	جار ومجرور	Prepositional phrase
(3:109:4)	(3:109:3)	gen	جار ومجرور	Prepositional phrase
(3:109:5)	(3:109:2)	conj	معطوف	Coordinating conjunction
(3:109:7)	(3:109:6)	gen	جار ومجرور	Prepositional phrase
(3:109:8)	(3:109:9)	PP	PP	PP
(3:109:9)	(3:109:8)	gen	جار ومجرور	Prepositional phrase
(3:109:11)	(3:109:10)	pass	نائب فاعل	Passive subject
(3:110:5)	(3:110:5)	PP	PP	PP
(3:110:4)	(3:110:5)	VS	VS	VS
(3:110:1)	(3:110:1)	subjx	اسم كان	Subject of special verb
(3:110:2)	(3:110:1)	predx	خبر كان	Predicate of special verb
(3:110:3)	(3:110:2)	poss	مضاف إليه	Possessive
(3:110:5)	(3:110:5)	gen	جار ومجرور	Prepositional phrase
(3:110:7)	(3:110:7)	PP	PP	PP
(3:110:6)	(3:110:6)	subj	فاعل	Subject
(3:110:7)	(3:110:7)	gen	جار ومجرور	Prepositional phrase
(3:110:9)	(3:110:10)	PP	PP	PP
(3:110:6)	(3:110:6)	subj	فاعل	Subject
(3:110:8)	(3:110:6)	conj	معطوف	Coordinating conjunction
(3:110:8)	(3:110:8)	subj	فاعل	Subject
(3:110:10)	(3:110:9)	gen	جار ومجرور	Prepositional phrase
(3:110:12)	(3:110:12)	PP	PP	PP
(3:110:8)	(3:110:8)	subj	فاعل	Subject
(3:110:11)	(3:110:8)	conj	معطوف	Coordinating conjunction
(3:110:11)	(3:110:11)	subj	فاعل	Subject
(3:110:12)	(3:110:12)	gen	جار ومجرور	Prepositional phrase
(3:110:14)	(3:110:16)	VS	VS	VS
(3:110:15)	(3:110:14)	subj	فاعل	Subject
(3:110:16)	(3:110:15)	poss	مضاف إليه	Possessive
(3:110:19)	(3:110:19)	PP	PP	PP
(3:110:17)	(3:110:19)	NS	NS	NS
(3:110:17)	(3:110:17)	emph	emph	emph
(3:110:18)	(3:110:17)	predx	خبر كان	Predicate of special verb
(3:110:19)	(3:110:19)	gen	جار ومجرور	Prepositional phrase
(3:110:20)	(3:110:20)	PP	PP	PP
(3:110:20)	(3:110:21)	NS	NS	NS
(3:110:22)	(3:110:23)	NS	NS	NS
(3:110:20)	(3:110:20)	gen	جار ومجرور	Prepositional phrase
(3:110:22)	(3:110:22)	poss	مضاف إليه	Possessive
(3:110:23)	(3:110:22)	pred	مبتدأ وخبر	Predicate
(3:111:2)	(3:111:1)	neg	neg	neg
(3:111:2)	(3:111:2)	subj	فاعل	Subject
(3:111:2)	(3:111:2)	obj	مفعول به	Object
(3:111:4)	(3:111:3)	exp	exp	exp
(3:111:6)	(3:111:6)	VS	VS	VS
(3:111:7)	(3:111:8)	VS	VS	VS
(3:111:6)	(3:111:6)	subj	فاعل	Subject
(3:111:6)	(3:111:6)	obj	مفعول به	Object
(3:111:7)	(3:111:7)	subj	فاعل	Subject
(3:111:7)	(3:111:7)	obj	مفعول به	Object
(3:111:8)	(3:111:7)	obj	مفعول به	Object
(3:111:11)	(3:111:10)	neg	neg	neg
(3:111:11)	(3:111:11)	pass	نائب فاعل	Passive subject
(3:112:2)	(3:112:2)	PP	PP	PP
(3:112:6)	(3:112:6)	VS	VS	VS
(3:112:2)	(3:112:2)	gen	جار ومجرور	Prepositional phrase
(3:112:3)	(3:112:1)	pass	نائب فاعل	Passive subject
(3:112:4)	(3:112:1)	link	متعلق	PP attachment
(3:112:5)	(3:112:4)	poss	مضاف إليه	Possessive
(3:112:6)	(3:112:6)	pass	نائب فاعل	Passive subject
(3:112:8)	(3:112:8)	PP	PP	PP
(3:112:9)	(3:112:10)	PP	PP	PP
(3:112:12)	(3:112:13)	PP	PP	PP
(3:112:8)	(3:112:8)	gen	جار ومجرور	Prepositional phrase
(3:112:10)	(3:112:9)	gen	جار ومجرور	Prepositional phrase
(3:112:11)	(3:112:8)	conj	معطوف	Coordinating conjunction
(3:112:13)	(3:112:12)	gen	جار ومجرور	Prepositional phrase
(3:112:15)	(3:112:15)	PP	PP	PP
(3:112:16)	(3:112:17)	PP	PP	PP
(3:112:14)	(3:112:1)	conj	معطوف	Coordinating conjunction
(3:112:14)	(3:112:14)	subj	فاعل	Subject
(3:112:15)	(3:112:15)	gen	جار ومجرور	Prepositional phrase
(3:112:17)	(3:112:16)	gen	جار ومجرور	Prepositional phrase
(3:112:19)	(3:112:19)	PP	PP	PP
(3:112:18)	(3:112:1)	conj	معطوف	Coordinating conjunction
(3:112:19)	(3:112:19)	gen	جار ومجرور	Prepositional phrase
(3:112:20)	(3:112:18)	pass	نائب فاعل	Passive subject
(3:112:22)	(3:112:22)	PP	PP	PP
(3:112:25)	(3:112:25)	PP	PP	PP
(3:112:24)	(3:112:26)	VS	VS	VS
(3:112:23)	(3:112:26)	NS	NS	NS
(3:112:22)	(3:112:22)	gen	جار ومجرور	Prepositional phrase
(3:112:22)	(3:112:22)	subjx	اسم كان	Subject of special verb
(3:112:23)	(3:112:23)	subjx	اسم كان	Subject of special verb
(3:112:24)	(3:112:24)	subj	فاعل	Subject
(3:112:25)	(3:112:25)	gen	جار ومجرور	Prepositional phrase
(3:112:26)	(3:112:25)	poss	مضاف إليه	Possessive
(3:112:29)	(3:112:29)	PP	PP	PP
(3:112:24)	(3:112:24)	subj	فاعل	Subject
(3:112:27)	(3:112:24)	conj	معطوف	Coordinating conjunction
(3:112:27)	(3:112:27)	subj	فاعل	Subject
(3:112:28)	(3:112:27)	obj	مفعول به	Object
(3:112:29)	(3:112:29)	gen	جار ومجرور	Prepositional phrase
(3:112:30)	(3:112:29)	poss	مضاف إليه	Possessive
(3:112:32)	(3:112:32)	PP	PP	PP
(3:112:35)	(3:112:35)	VS	VS	VS
(3:112:33)	(3:112:35)	VS	VS	VS
(3:112:32)	(3:112:32)	gen	جار ومجرور	Prepositional phrase
(3:112:33)	(3:112:33)	subj	فاعل	Subject
(3:112:34)	(3:112:33)	conj	معطوف	Coordinating conjunction
(3:112:34)	(3:112:34)	subjx	اسم كان	Subject of special verb
(3:112:35)	(3:112:35)	subj	فاعل	Subject
(3:113:1)	(3:113:1)	subjx	اسم كان	Subject of special verb
(3:113:2)	(3:113:1)	predx	خبر كان	Predicate of special verb
(3:113:3)	(3:113:4)	PP	PP	PP
(3:113:4)	(3:113:3)	gen	جار ومجرور	Prepositional phrase
(3:113:5)	(3:113:4)	poss	مضاف إليه	Possessive
(3:113:7)	(3:113:6)	adj	صفة	Adjective
(3:113:8)	(3:113:8)	subj	فاعل	Subject
(3:113:9)	(3:113:8)	obj	مفعول به	Object
(3:113:10)	(3:113:9)	poss	مضاف إليه	Possessive
(3:113:11)	(3:113:8)	link	متعلق	PP attachment
(3:113:12)	(3:113:11)	poss	مضاف إليه	Possessive
(3:113:14)	(3:113:14)	VS	VS	VS
(3:113:14)	(3:113:14)	subj	فاعل	Subject
(3:114:2)	(3:114:2)	PP	PP	PP
(3:114:1)	(3:114:1)	subj	فاعل	Subject
(3:114:2)	(3:114:2)	gen	جار ومجرور	Prepositional phrase
(3:114:3)	(3:114:2)	conj	معطوف	Coordinating conjunction
(3:114:4)	(3:114:3)	adj	صفة	Adjective
(3:114:6)	(3:114:6)	PP	PP	PP
(3:114:1)	(3:114:1)	subj	فاعل	Subject
(3:114:5)	(3:114:1)	conj	معطوف	Coordinating conjunction
(3:114:5)	(3:114:5)	subj	فاعل	Subject
(3:114:6)	(3:114:6)	gen	جار ومجرور	Prepositional phrase
(3:114:8)	(3:114:9)	PP	PP	PP
(3:114:5)	(3:114:5)	subj	فاعل	Subject
(3:114:7)	(3:114:5)	conj	معطوف	Coordinating conjunction
(3:114:7)	(3:114:7)	subj	فاعل	Subject
(3:114:9)	(3:114:8)	gen	جار ومجرور	Prepositional phrase
(3:114:11)	(3:114:12)	PP	PP	PP
